player_name,url,position,shoots,height,weight_lb,weight_kg,height_cm,birthdate,birthplace,college,high_school,draft,nba_debut,games,points,rebounds,assists,fg_percentage,fg3_percentage,ft_percentage,efg_percentage
Kevin Henderson,https://www.basketball-reference.com/players/h/hendeke01.html,"Shooting Guard and Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Baltimore, Maryland
us",Cal State Fullerton,"Centennial in Compton, California","Cleveland Cavaliers, 3rd round (3rd pick, 50th overall), 1986 NBA Draft","February 12, 1987",22,3.0,1.1,1.5,39.3,,60.7,39.3
Scoot Henderson,https://www.basketball-reference.com/players/h/hendesc01.html,"Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Marietta, Georgia
us",,"Carlton J. Kell in Marietta, Georgia","Portland Trail Blazers, 1st round (3rd pick, 3rd overall), 2023 NBA Draft","October 25, 2023",85,13.2,3.0,5.3,38.7,,80.8,44.2
Tom Henderson,https://www.basketball-reference.com/players/h/hendeto01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Newberry, South Carol",Hawaii,"DeWitt Clinton in Bronx, New York","Atlanta Hawks, 1st round (7th pick, 7th overall), 1974 NBA Draft","October 18, 1974",650,9.4,2.3,4.8,43.3,,73.9,43.3
Taylor Hendricks,https://www.basketball-reference.com/players/h/hendrita01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Fort Lauderdale, Florida
us",Central Florida,,"Utah Jazz, 1st round (9th pick, 9th overall), 2023 NBA Draft","October 25, 2023",43,7.1,4.7,0.8,43.4,,78.8,54.3
Mark Hendrickson,https://www.basketball-reference.com/players/h/hendrma01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Left",,,,,,"Mount Vernon, Wash",Washington State,"Mount Vernon in Mount Vernon, Washington","Philadelphia 76ers, 2nd round (2nd pick, 31st overall), 1996 NBA Draft","November 20, 1996",114,3.3,2.8,0.6,41.6,,80.3,42.1
Larry Hennessy,https://www.basketball-reference.com/players/h/hennela01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"New Rochelle, New York
us",Villanova,"Blessed Sacrament-St. Gabriel in New Rochelle, New York","Philadelphia Warriors, 2nd round (1st pick, 10th overall), 1953 NBA Draft (territorial selection)","November 5, 1955",74,4.5,1.3,1.0,33.4,,76.6,
Don Henriksen,https://www.basketball-reference.com/players/h/henrido01.html,"Power Forward and Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward and Center


  
  ▪
  
  
  
  
  Right",,,,,,Ill,California,,,"November 1, 1952",138,7.2,7.2,1.7,38.4,,65.8,
Aaron Henry,https://www.basketball-reference.com/players/h/henryaa01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Left",,,,,,"Louisville, Kentucky
us",Michigan State,"Ben Davis in Indianapolis, Indiana",,"October 20, 2021",6,0.3,0.2,0.0,20.0,,-,20.0
Al Henry,https://www.basketball-reference.com/players/h/henryal01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Center


  
  ▪
  
  
  
  
  Left",,,,,,,Wisconsin,"Hamilton in Memphis, Tennessee","Philadelphia 76ers, 1st round (12th pick, 12th overall), 1970 NBA Draft","October 16, 1970",49,4.0,3.0,0.2,42.6,,70.0,
Bill Henry,https://www.basketball-reference.com/players/h/henrybi01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Dallas, Texas
us",Rice University,"Highland Park in Dallas, Texas",,,95,6.5,-,1.1,32.0,,64.1,
Carl Henry,https://www.basketball-reference.com/players/h/henryca01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Hollis, Oklahoma
us",,"Grant in Oklahoma City, Oklahoma","Kansas City Kings, 4th round (10th pick, 80th overall), 1984 NBA Draft","October 25, 1985",28,2.8,0.7,0.1,46.3,,70.6,49.3
Conner Henry,https://www.basketball-reference.com/players/h/henryco01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Claremont, California
us",UC Santa Barbara,"Claremont in Claremont, California","Houston Rockets, 4th round (19th pick, 89th overall), 1986 NBA Draft","November 1, 1986",93,3.3,0.9,1.1,37.8,,75.7,43.5
Myke Henry,https://www.basketball-reference.com/players/h/henrymy01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Chicago, Ill",DePaul,"Orr in Chicago, Illinois",,"January 20, 2018",20,5.4,1.9,1.1,37.6,,60.0,46.3
Skeeter Henry,https://www.basketball-reference.com/players/h/henrysk01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Dallas, Texas
us",,"South Grand Prairie in Grand Prairie, Texas",,"April 18, 1994",4,1.0,0.5,1.0,20.0,,50.0,20.0
Xavier Henry,https://www.basketball-reference.com/players/h/henryxa01.html,"Small Forward and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Small Forward and Shooting Guard


  
  ▪
  
  
  
  
  Left",,,,,,"Gent, Belgium
be",Kansas,"Putnam City in Warr Acres, Oklahoma","Memphis Grizzlies, 1st round (12th pick, 12th overall), 2010 NBA Draft","October 27, 2010",185,5.7,1.9,0.6,40.6,,63.5,42.8
John Henson,https://www.basketball-reference.com/players/h/hensojo01.html,"Center and Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center and Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Greensboro, North Carol",UNC,"Sickles in Tampa, Florida","Milwaukee Bucks, 1st round (14th pick, 14th overall), 2012 NBA Draft","November 7, 2012",445,7.6,5.3,1.1,54.0,,56.8,54.4
Steve Henson,https://www.basketball-reference.com/players/h/hensost01.html,"Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Junction City, Kansas
us",Kansas State,"McPherson in McPherson, Kansas","Milwaukee Bucks, 2nd round (17th pick, 44th overall), 1990 NBA Draft","November 2, 1990",238,3.1,0.7,2.0,40.3,,86.9,48.6
Charlie Hentz,https://www.basketball-reference.com/players/h/hentzch01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,,University of Arkansas at Pine Bluff,,"San Diego Rockets, 5th round (6th pick, 63rd overall), 1969 NBA Draft",,57,6.0,6.8,0.5,46.9,,58.2,46.9
Bill Herman,https://www.basketball-reference.com/players/h/hermabi01.html,"Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Ohio
us",Mount Union College,"Dover in Dover, Ohio",,"January 31, 1950",13,4.3,-,1.2,38.5,,54.5,
Kleggie Hermsen,https://www.basketball-reference.com/players/h/hermskl01.html,"Center/Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center/Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Hill City, M",Minnesota,"Vocational in Minneapolis, Minnesota",,"November 3, 1946",288,9.3,5.8,1.3,29.7,,65.4,
Dewan Hernandez,https://www.basketball-reference.com/players/h/hernade01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Miami, Florida
us",Miami (FL),"Miami Norland in Miami Gardens, Florida","Toronto Raptors, 2nd round (29th pick, 59th overall), 2019 NBA Draft","November 18, 2019",6,2.3,2.3,0.5,35.7,,60.0,39.3
Juancho HernangÃ³mez,https://www.basketball-reference.com/players/h/hernaju01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Madrid, Spa",,,"Denver Nuggets, 1st round (15th pick, 15th overall), 2016 NBA Draft","October 26, 2016",339,5.0,3.3,0.6,42.8,,67.6,52.4
Willy HernangÃ³mez,https://www.basketball-reference.com/players/h/hernawi01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Madrid, Spa",,,"Philadelphia 76ers, 2nd round (5th pick, 35th overall), 2015 NBA Draft","October 25, 2016",344,7.3,5.8,1.1,53.3,,71.3,54.3
